"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
32, 4.370910707885338e-01, 5.059671251041057e-02, 6.965601376198215e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.026212905819936e+03, 2.010485162327974e+03, 1.681515896707200e+03, 0.000000000000000e+00, -7.928859626920964e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.323018293512087e-07, 1.148027729421783e-02, 2.123448996499283e-04, -0.000000000000000e+00, 0.000000000000000e+00
33, 4.383052890592393e-01, 5.060668610043906e-02, 6.965654666202190e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.026100792484083e+03, 2.010440316993633e+03, 1.681465525299184e+03, 0.000000000000000e+00, -7.932223359617996e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.322867279539239e-07, 1.062751060590658e-02, -2.368746244784214e-05, -0.000000000000000e+00, 0.000000000000000e+00
34, 4.395400010727120e-01, 5.059125413485161e-02, 6.967670261252018e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.027539540232688e+03, 2.011015816093074e+03, 1.681460303093288e+03, 0.000000000000000e+00, -7.889056658637195e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.322851623172555e-07, 9.646757736116542e-03, -2.211142088535045e-04, -0.000000000000000e+00, 0.000000000000000e+00
35, 4.407934764881070e-01, 5.054965413074903e-02, 6.971786181969521e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.030504791186226e+03, 2.012201916474490e+03, 1.681458764957005e+03, 0.000000000000000e+00, -7.800090332629990e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.322847011777909e-07, 8.562954554513440e-03, -3.733383882856696e-04, -0.000000000000000e+00, 0.000000000000000e+00
36, 4.420639586832756e-01, 5.048121147837945e-02, 6.978201340798908e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.035255628566882e+03, 2.014102251426752e+03, 1.681499495603497e+03, 0.000000000000000e+00, -7.657551116274566e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.322969123116471e-07, 7.381454447323996e-03, -4.744752437309239e-04, -0.000000000000000e+00, 0.000000000000000e+00
37, 4.433496703146014e-01, 5.038534360123148e-02, 6.986810222350894e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.041662922613777e+03, 2.016665169045511e+03, 1.681564664657609e+03, 0.000000000000000e+00, -7.465313285503506e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.323164497931305e-07, 6.133841956007701e-03, -5.212218587233449e-04, -0.000000000000000e+00, 0.000000000000000e+00
38, 4.446488190371776e-01, 5.026156354355102e-02, 6.997579254537891e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.049730916171326e+03, 2.019892366468529e+03, 1.681663601610084e+03, 0.000000000000000e+00, -7.223249542396668e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.323461099898869e-07, 4.846678492525335e-03, -5.122766820443546e-04, -0.000000000000000e+00, 0.000000000000000e+00
39, 4.459596033293618e-01, 5.010948296239986e-02, 7.009133260069423e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.058425480042244e+03, 2.023370192016897e+03, 1.681782205794842e+03, 0.000000000000000e+00, -6.962386830959909e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.323816649382123e-07, 3.573204985969836e-03, -4.518434360846015e-04, -0.000000000000000e+00, 0.000000000000000e+00
40, 4.472802183620059e-01, 4.992881450807456e-02, 7.021690055050017e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.068176160854282e+03, 2.027270464341712e+03, 1.682010723004536e+03, 0.000000000000000e+00, -6.669837477968154e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.324501655239820e-07, 2.393153666165482e-03, -3.523973526282572e-04, -0.000000000000000e+00, 0.000000000000000e+00
41, 4.486088618500803e-01, 4.971937358399753e-02, 7.033245715248800e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.077430893626088e+03, 2.030972357450435e+03, 1.682313556301785e+03, 0.000000000000000e+00, -6.392168037577819e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.325409352961467e-07, 1.317652962125116e-03, -2.214960112414038e-04, -0.000000000000000e+00, 0.000000000000000e+00
42, 4.499437398231819e-01, 4.948107948492033e-02, 7.044933021215873e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.087403250898936e+03, 2.034961300359574e+03, 1.682821331030292e+03, 0.000000000000000e+00, -6.092967733085004e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.326931130329521e-07, 3.456231082881622e-04, -6.532172032065228e-05, -0.000000000000000e+00, 0.000000000000000e+00
43, 4.512830722516400e-01, 4.921395592024680e-02, 7.054644863995591e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.096012491490662e+03, 2.038404996596264e+03, 1.683348520560463e+03, 0.000000000000000e+00, -5.834664973163854e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.328510825590337e-07, -4.773105474241374e-04, 9.961882088203506e-05, -0.000000000000000e+00, 0.000000000000000e+00
44, 4.525913313542274e-01, 4.892850433667905e-02, 7.063339537235095e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.103570508214058e+03, 2.041428203285622e+03, 1.683769930288130e+03, 0.000000000000000e+00, -5.607902048097094e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.329773361524793e-07, -1.004070342684052e-03, 2.252597720872876e-04, -0.000000000000000e+00, 0.000000000000000e+00
45, 4.538970709607111e-01, 4.862751418562911e-02, 7.070939126727487e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.109595750516711e+03, 2.043838300206684e+03, 1.683945986711208e+03, 0.000000000000000e+00, -5.427126903136604e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.330300771885403e-07, -1.337205910673354e-03, 3.161932338868500e-04, -0.000000000000000e+00, 0.000000000000000e+00
46, 4.552052473470964e-01, 4.831042260050305e-02, 7.077983639710582e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.114621676513605e+03, 2.045848670605441e+03, 1.683924726628657e+03, 0.000000000000000e+00, -5.276334212152349e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.330237084892535e-07, -1.536750773130068e-03, 3.815344292959210e-04, -0.000000000000000e+00, 0.000000000000000e+00
47, 4.565144374069854e-01, 4.797769156585351e-02, 7.084588663831044e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.118965420340176e+03, 2.047586168136070e+03, 1.683783578437290e+03, 0.000000000000000e+00, -5.146009010197595e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.329814248225748e-07, -1.631691794829320e-03, 4.241901173020488e-04, -0.000000000000000e+00, 0.000000000000000e+00
48, 4.578232306395552e-01, 4.762982676528343e-02, 7.090072068240003e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.122755716177589e+03, 2.049102286471035e+03, 1.683727133310924e+03, 0.000000000000000e+00, -5.032288889904689e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.329645150488250e-07, -1.617374838095578e-03, 4.391962168553473e-04, -0.000000000000000e+00, 0.000000000000000e+00
49, 4.591302309636702e-01, 4.726737593146210e-02, 7.092973049289294e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.125158059414474e+03, 2.050063223765789e+03, 1.683827769334891e+03, 0.000000000000000e+00, -4.960211465449668e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.329946632691584e-07, -1.606346850805061e-03, 4.546179207532134e-04, -0.000000000000000e+00, 0.000000000000000e+00
50, 4.604340584111872e-01, 4.689092713573629e-02, 7.095566375756740e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.127881999902536e+03, 2.051152799961014e+03, 1.684106955495662e+03, 0.000000000000000e+00, -4.878485169334359e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.330782957810054e-07, -1.595643399510856e-03, 4.697025230006346e-04, -0.000000000000000e+00, 0.000000000000000e+00
51, 4.617333507023973e-01, 4.650110703370729e-02, 7.096892374109542e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.130005308611700e+03, 2.052002123444679e+03, 1.684489503442139e+03, 0.000000000000000e+00, -4.814779608559492e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.331928787766003e-07, -1.537016864787377e-03, 4.697224379524530e-04, -0.000000000000000e+00, 0.000000000000000e+00
