"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
233, 6.907934764881071e-01, 1.378161167304655e-01, 6.843825963382618e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.062929968054060e+03, 2.025171987221623e+03, 1.723938135280367e+03, 0.000000000000000e+00, -6.827238826546830e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.449327972631545e-07, 6.877517576513157e-04, -2.998546017120614e-05, -0.000000000000000e+00, 0.000000000000000e+00
234, 6.920639586832755e-01, 1.377476740780959e-01, 6.835835749447400e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.057218213725371e+03, 2.022887285490148e+03, 1.724006060052816e+03, 0.000000000000000e+00, -6.998608402222239e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.449528834854777e-07, 6.350466648079875e-04, -4.082039972143855e-05, -0.000000000000000e+00, 0.000000000000000e+00
235, 6.933496703146015e-01, 1.376518062009479e-01, 6.835859185380838e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.057459074464394e+03, 2.022983629785757e+03, 1.724082258664365e+03, 0.000000000000000e+00, -6.991381865458263e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.449754158694061e-07, 5.983245616873030e-04, -5.084249682322296e-05, -0.000000000000000e+00, 0.000000000000000e+00
236, 6.946488190371776e-01, 1.375280261432675e-01, 6.845983276056944e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.065055811315337e+03, 2.026022324526134e+03, 1.724118512207181e+03, 0.000000000000000e+00, -6.763457221688984e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.449861360658814e-07, 5.361859178878498e-04, -5.667294486277021e-05, -0.000000000000000e+00, 0.000000000000000e+00
237, 6.959596033293618e-01, 1.373759455621163e-01, 6.843855518903729e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.063755117286062e+03, 2.025502046914424e+03, 1.724211654178479e+03, 0.000000000000000e+00, -6.802481901507706e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.450136776394352e-07, 4.537867984140834e-04, -5.738282215836567e-05, -0.000000000000000e+00, 0.000000000000000e+00
238, 6.972802183620059e-01, 1.371952771077910e-01, 6.843507078212556e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.063706831870393e+03, 2.025482732748157e+03, 1.724283001253693e+03, 0.000000000000000e+00, -6.803930607232502e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.450347740272246e-07, 4.122728279092673e-04, -6.070811714676997e-05, -0.000000000000000e+00, 0.000000000000000e+00
239, 6.986088618500803e-01, 1.369858361837140e-01, 6.852797846975973e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.070817690845671e+03, 2.028327076338268e+03, 1.724363374626131e+03, 0.000000000000000e+00, -6.590583741251117e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.450585387965822e-07, 3.654995779624787e-04, -6.144007637528207e-05, -0.000000000000000e+00, 0.000000000000000e+00
240, 6.999437398231819e-01, 1.367475420846368e-01, 6.862383843230210e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.078103430941761e+03, 2.031241372376704e+03, 1.724428729204291e+03, 0.000000000000000e+00, -6.371989922802507e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.450778623650495e-07, 3.188307422025844e-04, -6.025804430420445e-05, -0.000000000000000e+00, 0.000000000000000e+00
241, 7.012830722516400e-01, 1.364804185199633e-01, 6.862481638824344e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.078394228904580e+03, 2.031357691561832e+03, 1.724502902910005e+03, 0.000000000000000e+00, -6.363265121169254e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.450997930211007e-07, 2.730076160039908e-04, -5.697904005034985e-05, -0.000000000000000e+00, 0.000000000000000e+00
242, 7.025913313542275e-01, 1.361949669363955e-01, 6.865506474339385e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.080784142869554e+03, 2.032313657147821e+03, 1.724554314571392e+03, 0.000000000000000e+00, -6.291560611747113e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.451149934059609e-07, 2.167861383816932e-04, -4.863523405442077e-05, -0.000000000000000e+00, 0.000000000000000e+00
243, 7.038970709607111e-01, 1.358939767853456e-01, 6.869252010006378e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.083883321573373e+03, 2.033553328629349e+03, 1.724665352981893e+03, 0.000000000000000e+00, -6.198576055890401e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.451478221998206e-07, 1.653549786590093e-04, -3.909953210957437e-05, -0.000000000000000e+00, 0.000000000000000e+00
244, 7.052052473470963e-01, 1.355768852002195e-01, 6.877940981109992e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.090513665868721e+03, 2.036205466347488e+03, 1.724733014017812e+03, 0.000000000000000e+00, -5.999646055913197e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.451678257902176e-07, 1.351722751633709e-04, -3.355968824798251e-05, -0.000000000000000e+00, 0.000000000000000e+00
245, 7.065144374069853e-01, 1.352441541655700e-01, 6.884701081633152e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.095694988109711e+03, 2.038277995243884e+03, 1.724793271957482e+03, 0.000000000000000e+00, -5.844191016571533e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.451856403349057e-07, 1.172213509403724e-04, -3.047397723225985e-05, -0.000000000000000e+00, 0.000000000000000e+00
246, 7.078232306395552e-01, 1.348962893649999e-01, 6.889763665024673e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.099482452246982e+03, 2.039792980898792e+03, 1.724806938274747e+03, 0.000000000000000e+00, -5.730555855684097e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.451896805717639e-07, 9.321677258767645e-05, -2.531290391297344e-05, -0.000000000000000e+00, 0.000000000000000e+00
247, 7.091302309636701e-01, 1.345338385311786e-01, 6.893722012730829e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.102503381319480e+03, 2.041001352527791e+03, 1.724837748470952e+03, 0.000000000000000e+00, -5.639919020920505e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.451987890685746e-07, 6.928337021808983e-05, -1.960813238780821e-05, -0.000000000000000e+00, 0.000000000000000e+00
248, 7.104340584111871e-01, 1.341573897354527e-01, 6.897648083197778e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.105476676788642e+03, 2.042190670715456e+03, 1.724860501969695e+03, 0.000000000000000e+00, -5.550711335577880e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.452055156859154e-07, 5.384786974249608e-05, -1.585096036120175e-05, -0.000000000000000e+00, 0.000000000000000e+00
249, 7.117333507023974e-01, 1.337675696334238e-01, 6.901518349586724e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.108376693861951e+03, 2.043350677544780e+03, 1.724872433720149e+03, 0.000000000000000e+00, -5.463702219515522e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.452090430500534e-07, 3.781398649828326e-05, -1.155620236420055e-05, -0.000000000000000e+00, 0.000000000000000e+00
250, 7.130267647078763e-01, 1.333650416809349e-01, 6.904400661566087e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.110320201708488e+03, 2.044128080683395e+03, 1.724808330775720e+03, 0.000000000000000e+00, -5.405391218058393e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.451900922423064e-07, 2.706550570209374e-05, -8.572667559209612e-06, -0.000000000000000e+00, 0.000000000000000e+00
251, 7.143129778021007e-01, 1.329505043328197e-01, 6.907976879892756e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.112553367222479e+03, 2.045021346888991e+03, 1.724668743866365e+03, 0.000000000000000e+00, -5.338389627212031e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.451488247053033e-07, 1.619836451861720e-05, -5.309179636000448e-06, -0.000000000000000e+00, 0.000000000000000e+00
252, 7.155906891150261e-01, 1.325246892345482e-01, 6.913012969658752e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.115135853196881e+03, 2.046054341278752e+03, 1.724282873878748e+03, 0.000000000000000e+00, -5.260907386178302e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.450347363645639e-07, 6.488646558610691e-06, -2.197540623837025e-06, -0.000000000000000e+00, 0.000000000000000e+00
253, 7.168586206883923e-01, 1.320883594146342e-01, 6.919251797374683e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.117044959846765e+03, 2.046817983938706e+03, 1.723371121816532e+03, 0.000000000000000e+00, -5.203628522683312e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.447651071507045e-07, 3.583210066099996e-06, -1.252266444954186e-06, -0.000000000000000e+00, 0.000000000000000e+00
254, 7.181155185438325e-01, 1.316423074833805e-01, 6.928045027886872e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.118087075087987e+03, 2.047234830035194e+03, 1.721534309285512e+03, 0.000000000000000e+00, -5.172361973665939e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.442216746284426e-07, 1.154337458545034e-06, -4.157708458529147e-07, -0.000000000000000e+00, 0.000000000000000e+00
255, 7.193601536699123e-01, 1.311873538413018e-01, 6.940995185898665e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.118653129806654e+03, 2.047461251922661e+03, 1.718512402114698e+03, 0.000000000000000e+00, -5.155378652716748e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.433269297420609e-07, -5.075131321825257e-06, 1.881724050492235e-06, -0.000000000000000e+00, 0.000000000000000e+00
256, 7.205913229350309e-01, 1.307243448984129e-01, 6.960746665101367e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.119714675043009e+03, 2.047885870017203e+03, 1.713991421041869e+03, 0.000000000000000e+00, -5.123529146199877e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.419867118168574e-07, -1.008237922740140e-05, 3.843982615172924e-06, -0.000000000000000e+00, 0.000000000000000e+00
257, 7.218078499326995e-01, 1.302541513035707e-01, 6.989570556296155e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.122618806381251e+03, 2.049047522552500e+03, 1.707891432860766e+03, 0.000000000000000e+00, -5.036396589983207e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.401753199011135e-07, -1.268582416510046e-05, 4.968181199687027e-06, -0.000000000000000e+00, 0.000000000000000e+00
258, 7.230085857651005e-01, 1.297776661812277e-01, 7.022879981706914e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.124220443118046e+03, 2.049688177247218e+03, 1.700322382951140e+03, 0.000000000000000e+00, -4.988342736092423e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.379227333633729e-07, -1.515738604281354e-05, 6.091711075727202e-06, -0.000000000000000e+00, 0.000000000000000e+00
