"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
203, 6.669918238226858e-01, 1.321267986269558e-01, 6.811135890800110e-04, 3.772520770054207e-01, 5.465467731969168e-01, 5.016031901302596e+03, 1.876909396627631e+03, 1.605397143339119e+03, 4.964092377966196e-01, -1.794957373844225e+00, 5.538754226222089e+02, 8.024311685443607e+02
204, 6.671935969889624e-01, 1.323884891289525e-01, 6.837026984919871e-04, 4.284887426142480e-01, 5.034406806927435e-01, 5.033535417002562e+03, 1.885564701678975e+03, 1.606692875171030e+03, 4.920958724349379e-01, -1.730036876850637e+00, 6.267179339197384e+02, 7.363444400660702e+02
205, 6.674410542670528e-01, 1.326546091811378e-01, 6.861127299060999e-04, 4.680876983242487e-01, 4.642251108244614e-01, 5.050331530580585e+03, 1.893444670761753e+03, 1.607740174491483e+03, 4.888350239435346e-01, -1.670931911039109e+00, 6.822314729363940e+02, 6.766018040329823e+02
206, 6.677341179727101e-01, 1.329245498168994e-01, 6.880831823936248e-04, 4.966656753912849e-01, 4.270032111730271e-01, 5.063108367138149e+03, 1.900546639700879e+03, 1.609149189395611e+03, 4.840711623448065e-01, -1.617662459480090e+00, 7.218105137572777e+02, 6.205691725927923e+02
207, 6.680726480302120e-01, 1.331976154293820e-01, 6.907763507877377e-04, 5.168883425261374e-01, 3.924859481824746e-01, 5.080628087642129e+03, 1.910296052983878e+03, 1.611097931072232e+03, 4.774971399092922e-01, -1.544535429066550e+00, 7.482716250153840e+02, 5.681809282192378e+02
208, 6.684564410850005e-01, 1.334730274053779e-01, 6.936315115102205e-04, 5.313417169807320e-01, 3.611537274666362e-01, 5.099216465267144e+03, 1.920673528534430e+03, 1.613182337585137e+03, 4.704262150830243e-01, -1.466697517371454e+00, 7.660288037143232e+02, 5.206708770775255e+02
209, 6.688852295683901e-01, 1.337499282668740e-01, 6.959256071892355e-04, 5.415404499085460e-01, 3.327361662674467e-01, 5.113826165364424e+03, 1.929432017962167e+03, 1.615196580414186e+03, 4.635744067134672e-01, -1.401003069493680e+00, 7.781585334900469e+02, 4.781203088809021e+02
210, 6.693586807377031e-01, 1.340273862961043e-01, 6.981676959708018e-04, 5.492779460266756e-01, 3.072738453073499e-01, 5.128250416245074e+03, 1.937824999919192e+03, 1.617013056285197e+03, 4.573136048121384e-01, -1.338050168737898e+00, 7.867421383094858e+02, 4.401146702728573e+02
211, 6.698763957175955e-01, 1.343044006177264e-01, 7.000914367936198e-04, 5.555207265603256e-01, 2.844038415794386e-01, 5.140647972431194e+03, 1.944991202457147e+03, 1.618533147067037e+03, 4.520092041129993e-01, -1.284298922818672e+00, 7.934973881477252e+02, 4.062381378095303e+02
212, 6.704379085703952e-01, 1.345799067096226e-01, 7.016175562726860e-04, 5.603772158884711e-01, 2.634856545887747e-01, 5.150369883024016e+03, 1.950844156338263e+03, 1.619872571432225e+03, 4.473292738313505e-01, -1.240397908055062e+00, 7.986932636997451e+02, 3.755402815011233e+02
213, 6.710426854249539e-01, 1.348527823118257e-01, 7.029989713805468e-04, 5.642535290802636e-01, 2.442036488734505e-01, 5.159196418695227e+03, 1.956134322723283e+03, 1.621073499294296e+03, 4.431137582442016e-01, -1.200718170731314e+00, 8.026377733841980e+02, 3.473741197570805e+02
214, 6.716901236948010e-01, 1.351218537011689e-01, 7.043089285827057e-04, 5.674017072501971e-01, 2.262703904170167e-01, 5.167617276266898e+03, 1.961086877394360e+03, 1.622155046465927e+03, 4.392822045159446e-01, -1.163570743953523e+00, 8.056148150670053e+02, 3.212658270176199e+02
215, 6.723795514172627e-01, 1.353859022974543e-01, 7.054435756637689e-04, 5.696988652040843e-01, 2.093362483917746e-01, 5.174841585699412e+03, 1.965497817451941e+03, 1.623188680679839e+03, 4.356278863204646e-01, -1.130485784030288e+00, 8.075753821530531e+02, 2.967441417193502e+02
216, 6.731102267456488e-01, 1.356436715652219e-01, 7.066030317031572e-04, 5.717009611318488e-01, 1.933750676286108e-01, 5.182381677058798e+03, 1.969857753480321e+03, 1.624119916484045e+03, 4.323367749793854e-01, -1.097783387968729e+00, 8.090836516139084e+02, 2.736686073402630e+02
217, 6.738813376266107e-01, 1.358938741735579e-01, 7.076646544265029e-04, 5.741761388156733e-01, 1.784220568630670e-01, 5.189528559819631e+03, 1.973640807803610e+03, 1.624797843758336e+03, 4.299816603606538e-01, -1.069407985211144e+00, 8.113675527301702e+02, 2.521279757961936e+02
218, 6.746920016943005e-01, 1.361351993748154e-01, 7.083700851920177e-04, 5.762756932160426e-01, 1.640187050047197e-01, 5.194176187091181e+03, 1.976312210932444e+03, 1.625376827751263e+03, 4.279793244935415e-01, -1.049370699665996e+00, 8.135234748935392e+02, 2.315438051851938e+02
219, 6.755412664120225e-01, 1.363663205616121e-01, 7.089574704311381e-04, 5.777693619426507e-01, 1.499922547467391e-01, 5.197938543346758e+03, 1.978657367400688e+03, 1.625957298130727e+03, 4.259491083046841e-01, -1.031780479270186e+00, 8.149563070282509e+02, 2.115673520663014e+02
220, 6.764281094906236e-01, 1.365859029600285e-01, 7.095572141896300e-04, 5.787641119529909e-01, 1.362973706946956e-01, 5.201789868027336e+03, 1.981063695504411e+03, 1.626558702850219e+03, 4.238530599610009e-01, -1.013731431258985e+00, 8.156694067496516e+02, 1.920879218321497e+02
221, 6.773514396109306e-01, 1.367926114155502e-01, 7.104110295658831e-04, 5.793869901192714e-01, 1.229020237362827e-01, 5.207458285446016e+03, 1.984225221424045e+03, 1.627196466461235e+03, 4.216109177735699e-01, -9.900179014939195e-01, 8.155658710328896e+02, 1.730012888614433e+02
